,subject,bvp,time_elapsed
371,11,-55.93,5.796875
372,11,-54.51,5.8125
373,11,-49.4,5.828125
374,11,-40.84,5.84375
375,11,-29.87,5.859375
376,11,-18.0,5.875
377,11,-6.76,5.890625
378,11,2.81,5.90625
379,11,10.24,5.921875
380,11,15.65,5.9375
381,11,19.34,5.953125
382,11,21.64,5.96875
383,11,22.79,5.984375
384,11,22.87,6.0
385,11,22.01,6.015625
386,11,20.38,6.03125
387,11,18.27,6.046875
388,11,16.01,6.0625
389,11,13.92,6.078125
390,11,12.32,6.09375
391,11,11.44,6.109375
392,11,11.43,6.125
393,11,12.27,6.140625
394,11,13.82,6.15625
395,11,15.82,6.171875
396,11,17.96,6.1875
397,11,19.95,6.203125
398,11,21.56,6.21875
399,11,22.61,6.234375
400,11,22.91,6.25
401,11,22.32,6.265625
402,11,20.81,6.28125
403,11,18.48,6.296875
404,11,15.7,6.3125
405,11,12.9,6.328125
406,11,10.47,6.34375
407,11,8.57,6.359375
408,11,7.05,6.375
409,11,5.62,6.390625
410,11,3.94,6.40625
411,11,1.84,6.421875
412,11,-0.63,6.4375
413,11,-3.25,6.453125
414,11,-5.77,6.46875
415,11,-8.0,6.484375
416,11,-9.93,6.5
417,11,-11.74,6.515625
418,11,-13.73,6.53125
419,11,-16.17,6.546875
420,11,-19.2,6.5625
421,11,-22.69,6.578125
422,11,-26.27,6.59375
423,11,-29.5,6.609375
424,11,-32.01,6.625
425,11,-33.74,6.640625
426,11,-34.96,6.65625
427,11,-36.18,6.671875
428,11,-37.94,6.6875
429,11,-40.63,6.703125
430,11,-44.33,6.71875
431,11,-48.8,6.734375
432,11,-53.41,6.75
433,11,-57.3,6.765625
434,11,-59.44,6.78125
435,11,-58.84,6.796875
436,11,-54.89,6.8125
437,11,-47.51,6.828125
438,11,-37.35,6.84375
439,11,-25.58,6.859375
440,11,-13.64,6.875
441,11,-2.78,6.890625
442,11,6.26,6.90625
443,11,13.28,6.921875
444,11,18.55,6.9375
445,11,22.51,6.953125
446,11,25.52,6.96875
447,11,27.77,6.984375
448,11,29.31,7.0
449,11,30.17,7.015625
450,11,30.39,7.03125
451,11,30.1,7.046875
452,11,29.45,7.0625
453,11,28.54,7.078125
454,11,27.45,7.09375
455,11,26.24,7.109375
456,11,25.03,7.125
457,11,23.96,7.140625
458,11,23.23,7.15625
459,11,22.92,7.171875
460,11,23.07,7.1875
461,11,23.58,7.203125
462,11,24.29,7.21875
463,11,24.98,7.234375
464,11,25.42,7.25
465,11,25.41,7.265625
466,11,24.84,7.28125
467,11,23.72,7.296875
468,11,22.16,7.3125
469,11,20.36,7.328125
470,11,18.51,7.34375
471,11,16.74,7.359375
472,11,15.06,7.375
473,11,13.41,7.390625
474,11,11.69,7.40625
475,11,9.84,7.421875
476,11,7.82,7.4375
477,11,5.69,7.453125
478,11,3.51,7.46875
479,11,1.41,7.484375
480,11,-0.58,7.5
481,11,-2.42,7.515625
482,11,-4.18,7.53125
483,11,-5.95,7.546875
484,11,-7.85,7.5625
485,11,-9.93,7.578125
486,11,-12.19,7.59375
487,11,-14.58,7.609375
488,11,-16.98,7.625
489,11,-19.35,7.640625
490,11,-21.65,7.65625
491,11,-23.92,7.671875
492,11,-26.16,7.6875
493,11,-28.38,7.703125
494,11,-30.56,7.71875
495,11,-32.73,7.734375
496,11,-35.02,7.75
497,11,-37.66,7.765625
498,11,-40.89,7.78125
499,11,-44.72,7.796875
500,11,-48.76,7.8125
501,11,-52.14,7.828125
502,11,-53.66,7.84375
503,11,-52.18,7.859375
504,11,-47.06,7.875
505,11,-38.49,7.890625
506,11,-27.47,7.90625
507,11,-15.51,7.921875
508,11,-4.14,7.9375
509,11,5.57,7.953125
510,11,13.16,7.96875
511,11,18.79,7.984375
512,11,22.88,8.0
513,11,25.92,8.015625
514,11,28.21,8.03125
515,11,29.84,8.046875
